iter	Passed	Remaining
148	366	2094
149	367	2085
150	369	2076
151	370	2067
152	371	2058
153	373	2049
154	374	2040
155	376	2035
156	377	2027
157	378	2018
158	380	2011
159	381	2002
160	382	1992
161	383	1984
162	384	1975
163	385	1967
164	387	1959
165	388	1951
166	389	1942
167	391	1937
168	392	1929
169	393	1921
170	394	1914
171	396	1907
172	397	1899
173	398	1891
174	399	1884
175	400	1876
176	402	1869
177	403	1861
178	404	1854
179	406	1849
180	407	1843
181	408	1836
182	409	1829
183	410	1822
184	412	1815
185	413	1808
186	414	1801
187	415	1794
188	416	1788
189	417	1781
190	418	1774
191	420	1768
192	421	1762
193	422	1757
194	424	1750
195	425	1744
196	426	1738
197	427	1732
198	428	1725
199	429	1719
200	431	1713
201	432	1707
202	433	1701
203	434	1695
204	436	1691
205	437	1685
206	438	1679
207	439	1674
208	440	1668
209	442	1663
210	443	1657
211	444	1652
212	445	1646
213	446	1641
214	448	1635
215	449	1630
216	450	1626
217	451	1621
218	453	1616
219	454	1610
220	455	1606
221	456	1601
222	458	1595
223	459	1590
224	460	1585
225	461	1580
226	462	1575
227	463	1570
228	465	1567
229	466	1563
230	468	1558
231	469	1553
232	470	1549
233	472	1545
234	473	1541
235	474	1536
236	475	1532
237	477	1527
238	478	1522
239	479	1518
240	481	1515
241	482	1511
242	483	1507
243	485	1503
244	486	1498
245	487	1494
246	488	1489
247	489	1485
248	491	1481
249	492	1476
250	493	1472
251	494	1468
252	496	1465
253	497	1461
254	498	1457
255	500	1453
256	501	1449
257	502	1445
258	503	1441
259	504	1437
260	506	1433
261	507	1428
262	508	1425
263	509	1421
264	511	1417
265	512	1413
266	513	1409
267	514	1405
268	515	1401
269	517	1398
270	518	1394
271	519	1390
272	520	1386
273	521	1382
274	522	1378
275	524	1375
276	525	1372
277	526	1368
278	528	1365
279	529	1361
280	530	1358
281	532	1354
282	533	1351
283	534	1347
284	535	1344
285	537	1340
286	538	1337
287	539	1333
288	541	1331
289	542	1328
290	543	1324
291	544	1321
292	546	1318
293	547	1314
294	548	1311
295	549	1307
296	551	1304
297	552	1301
298	553	1297
299	554	1294
300	556	1291
301	557	1288
302	558	1285
303	559	1281
304	561	1279
305	562	1275
306	563	1272
307	564	1269
308	566	1266
309	567	1262
310	568	1259
311	569	1256
312	571	1253
313	572	1250
314	573	1247
315	574	1244
316	576	1241
317	577	1238
318	578	1235
319	579	1232
320	581	1229
321	582	1225
322	583	1222
323	584	1219
324	585	1216
325	587	1213
326	588	1211
327	589	1207
328	590	1204
329	591	1201
330	593	1198
331	594	1195
332	595	1192
333	596	1190
334	597	1187
335	599	1183
336	600	1181
337	601	1178
338	603	1176
339	604	1173
340	605	1170
341	606	1167
342	607	1164
343	609	1161
344	610	1158
345	611	1156
346	612	1153
347	613	1150
348	615	1147
349	616	1144
350	617	1141
351	618	1139
352	620	1136
353	621	1133
354	622	1130
355	623	1128
356	624	1125
357	626	1122
358	627	1119
359	628	1117
360	629	1114
361	631	1112
362	632	1110
363	633	1107
364	635	1104
365	636	1102
366	637	1099
367	638	1097
368	640	1094
369	641	1091
370	642	1089
371	643	1086
372	645	1084
373	646	1081
374	647	1079
375	648	1076
376	649	1073
377	650	1071
378	652	1068
379	653	1065
380	654	1063
381	655	1060
382	656	1058
383	658	1055
384	659	1053
385	660	1051
386	662	1048
387	663	1046
388	664	1043
389	665	1041
390	666	1038
391	668	1036
392	669	1033
393	670	1031
394	671	1028
395	672	1026
396	673	1023
397	675	1021
398	676	1019
399	677	1016
400	679	1014
401	680	1011
402	681	1009
403	682	1007
404	683	1004
405	684	1002
406	686	999
407	687	997
408	688	994
409	689	992
410	691	990
411	692	987
412	693	985
413	694	983
414	695	981
415	697	978
416	698	976
417	699	973
418	700	971
419	701	969
420	702	966
421	704	964
422	705	962
423	706	960
424	708	957
425	709	955
426	710	953
427	711	950
428	712	948
429	714	946
430	715	944
431	716	941
432	717	939
433	718	937
434	720	935
435	721	933
436	722	931
437	724	929
438	725	926
439	726	924
440	727	922
441	728	919
442	729	917
443	730	915
444	732	913
445	733	910
446	734	908
447	736	906
448	737	904
449	738	902
450	740	900
451	741	898
452	742	896
453	744	894
454	745	892
455	746	890
456	747	888
457	748	886
458	750	884
459	751	882
460	752	880
461	754	878
462	755	875
